analysis_variant	scope	cas	state	n_targetable	n_total	proportion	delta_vs_primary	n_changed_vs_primary
matched_depth_genrich	genome_wide	Nme2Cas9_NNNNCC	stroke_WT	11104	21599	0.5140978749016158	0.0	0
matched_depth_macs3	therapeutic_panel	Un1Cas12f1_TTTR	homeostatic	12	55	0.21818181818181817	-0.19999999999999998	13
matched_depth_macs3	therapeutic_panel	Un1Cas12f1_TTTR	PP_control	22	55	0.4	-0.10909090909090902	6
matched_depth_macs3	therapeutic_panel	Un1Cas12f1_TTTR	PL_acute_LPS	26	55	0.4727272727272727	-0.12727272727272726	7
matched_depth_macs3	therapeutic_panel	Un1Cas12f1_TTTR	LL_tolerized	19	55	0.34545454545454546	-0.21818181818181814	12
matched_depth_macs3	therapeutic_panel	Un1Cas12f1_TTTR	sham_WT	23	55	0.41818181818181815	-0.14545454545454545	12
matched_depth_macs3	therapeutic_panel	Un1Cas12f1_TTTR	stroke_WT	20	55	0.36363636363636365	-0.2909090909090909	16
matched_depth_macs3	therapeutic_panel	SaCas9_NNGRRT	homeostatic	19	55	0.34545454545454546	-0.10909090909090907	6
matched_depth_macs3	therapeutic_panel	SaCas9_NNGRRT	PP_control	26	55	0.4727272727272727	-0.10909090909090907	10
matched_depth_macs3	therapeutic_panel	SaCas9_NNGRRT	PL_acute_LPS	29	55	0.5272727272727272	-0.1454545454545455	10
matched_depth_macs3	therapeutic_panel	SaCas9_NNGRRT	LL_tolerized	27	55	0.4909090909090909	-0.14545454545454545	10
matched_depth_macs3	therapeutic_panel	SaCas9_NNGRRT	sham_WT	25	55	0.45454545454545453	-0.2	15
matched_depth_macs3	therapeutic_panel	SaCas9_NNGRRT	stroke_WT	26	55	0.4727272727272727	-0.2363636363636364	13
matched_depth_macs3	therapeutic_panel	SpCas9_NGG	homeostatic	25	55	0.45454545454545453	-0.10909090909090907	8
matched_depth_macs3	therapeutic_panel	SpCas9_NGG	PP_control	33	55	0.6	-0.036363636363636376	4
matched_depth_macs3	therapeutic_panel	SpCas9_NGG	PL_acute_LPS	35	55	0.6363636363636364	-0.07272727272727275	6
matched_depth_macs3	therapeutic_panel	SpCas9_NGG	LL_tolerized	34	55	0.6181818181818182	-0.054545454545454564	5
matched_depth_macs3	therapeutic_panel	SpCas9_NGG	sham_WT	30	55	0.5454545454545454	-0.12727272727272732	13
matched_depth_macs3	therapeutic_panel	SpCas9_NGG	stroke_WT	31	55	0.5636363636363636	-0.20000000000000007	11
matched_depth_macs3	therapeutic_panel	CjCas9_NNNVRYM	homeostatic	25	55	0.45454545454545453	-0.09090909090909088	7
matched_depth_macs3	therapeutic_panel	CjCas9_NNNVRYM	PP_control	30	55	0.5454545454545454	-0.09090909090909094	7
matched_depth_macs3	therapeutic_panel	CjCas9_NNNVRYM	PL_acute_LPS	34	55	0.6181818181818182	-0.09090909090909094	5
matched_depth_macs3	therapeutic_panel	CjCas9_NNNVRYM	LL_tolerized	31	55	0.5636363636363636	-0.10909090909090913	8
matched_depth_macs3	therapeutic_panel	CjCas9_NNNVRYM	sham_WT	29	55	0.5272727272727272	-0.1454545454545455	14
matched_depth_macs3	therapeutic_panel	CjCas9_NNNVRYM	stroke_WT	32	55	0.5818181818181818	-0.18181818181818188	10
matched_depth_macs3	therapeutic_panel	Nme2Cas9_NNNNCC	homeostatic	25	55	0.45454545454545453	-0.09090909090909088	7
matched_depth_macs3	therapeutic_panel	Nme2Cas9_NNNNCC	PP_control	29	55	0.5272727272727272	-0.10909090909090913	8
matched_depth_macs3	therapeutic_panel	Nme2Cas9_NNNNCC	PL_acute_LPS	34	55	0.6181818181818182	-0.09090909090909094	5
matched_depth_macs3	therapeutic_panel	Nme2Cas9_NNNNCC	LL_tolerized	32	55	0.5818181818181818	-0.09090909090909094	7
matched_depth_macs3	therapeutic_panel	Nme2Cas9_NNNNCC	sham_WT	28	55	0.509090909090909	-0.1636363636363637	13
matched_depth_macs3	therapeutic_panel	Nme2Cas9_NNNNCC	stroke_WT	32	55	0.5818181818181818	-0.18181818181818188	10
matched_depth_macs3	genome_wide	Un1Cas12f1_TTTR	homeostatic	5559	21599	0.25737302652900595	-0.0328718922172323	1730
matched_depth_macs3	genome_wide	Un1Cas12f1_TTTR	PP_control	6734	21599	0.31177369322653825	-0.061762118616602635	1770
matched_depth_macs3	genome_wide	Un1Cas12f1_TTTR	PL_acute_LPS	6800	21599	0.3148293902495486	-0.07824436316496136	1982
